Params:lr = 0.07, n_d=8, n_a=8, gamma=1.2, n_steps=5, lambda=0.001, Score: 0.4990
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.2, n_steps=5, lambda=0.01, Score: 0.4993
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.2, n_steps=7, lambda=0.001, Score: 0.4827
Params:lr = 0.07, n_d=8, n_a=8, gamma=1.2, n_steps=7, lambda=0.01, Score: 0.5077
Params: lr=0.01, n_d=13, n_a=23, gamma=1.798839398854607, n_steps=4, lambda=0.004770875601616146, Score: 0.4851
Params: lr=0.07, n_d=8, n_a=24, gamma=1.7962343779930614, n_steps=5, lambda=0.0015975525783564455, Score: 0.5060
Params: lr=0.1, n_d=14, n_a=24, gamma=1.5559570718419462, n_steps=7, lambda=0.006561192619617517, Score: 0.5044
Params: lr=0.05, n_d=32, n_a=22, gamma=1.6050583852403564, n_steps=5, lambda=0.0016887342473624403, Score: 0.4968
Params: lr=0.05, n_d=20, n_a=30, gamma=1.4959366448959563, n_steps=5, lambda=0.0017073751659197715, Score: 0.4860
Params: lr=0.1, n_d=11, n_a=10, gamma=1.7484638222447193, n_steps=5, lambda=0.0011571449287256109, Score: 0.5099
Params: lr=0.01, n_d=9, n_a=23, gamma=1.4463187082993145, n_steps=6, lambda=0.003963567200218959, Score: 0.4898
Params: lr=0.07, n_d=26, n_a=26, gamma=1.651980379223636, n_steps=4, lambda=0.0030924413577785377, Score: 0.5036
Params: lr=0.07, n_d=29, n_a=30, gamma=1.3669821272306002, n_steps=7, lambda=0.00809897746062901, Score: 0.5178
Params: lr=0.01, n_d=27, n_a=26, gamma=1.6205993961433212, n_steps=5, lambda=0.002684940010028507, Score: 0.5028
Params: lr=0.05, n_d=16, n_a=11, gamma=1.4515485675622162, n_steps=4, lambda=0.002131807278521091, Score: 0.5054
Params: lr=0.07, n_d=32, n_a=15, gamma=1.2721258067965324, n_steps=7, lambda=0.009909582840528983, Score: 0.5159
Params: lr=0.07, n_d=32, n_a=15, gamma=1.2332473005240914, n_steps=7, lambda=0.009596764387631079, Score: 0.5220
Params: lr=0.07, n_d=26, n_a=18, gamma=1.2144608298680166, n_steps=7, lambda=0.009902407808047098, Score: 0.4932
Params: lr=0.07, n_d=29, n_a=16, gamma=1.332163294001169, n_steps=6, lambda=0.006107057579834328, Score: 0.4990
Params: lr=0.07, n_d=21, n_a=30, gamma=1.355980413910578, n_steps=3, lambda=0.00613701441897705, Score: 0.4882
Params: lr=0.07, n_d=23, n_a=13, gamma=1.2029971003742037, n_steps=6, lambda=0.004564989606182107, Score: 0.5017
Params: lr=0.07, n_d=29, n_a=8, gamma=1.367649548591018, n_steps=7, lambda=0.007713050003843048, Score: 0.4792
Params: lr=0.01, n_d=30, n_a=32, gamma=1.284124500361673, n_steps=6, lambda=0.004845941934528578, Score: 0.5075
Params: lr=0.1, n_d=23, n_a=20, gamma=1.4041698435078778, n_steps=7, lambda=0.007693780091576289, Score: 0.5071
Params: lr=0.07, n_d=18, n_a=19, gamma=1.2873170174851827, n_steps=6, lambda=0.0080667305418114, Score: 0.5217
Params: lr=0.07, n_d=18, n_a=18, gamma=1.267133597049614, n_steps=6, lambda=0.004873772042165174, Score: 0.4949
Params: lr=0.07, n_d=17, n_a=20, gamma=1.316562736549015, n_steps=7, lambda=0.00802524617186911, Score: 0.4891
Params: lr=0.07, n_d=23, n_a=15, gamma=1.240645897826331, n_steps=6, lambda=0.008783020973548578, Score: 0.4843
Params: lr=0.07, n_d=14, n_a=18, gamma=1.410960962041122, n_steps=7, lambda=0.006525189882654428, Score: 0.5018
Params: lr=0.07, n_d=31, n_a=13, gamma=1.308684027747951, n_steps=6, lambda=0.0058837907471924, Score: 0.4947
Params: lr=0.07, n_d=28, n_a=27, gamma=1.3765386050335162, n_steps=7, lambda=0.0038237231019723813, Score: 0.4933
Params: lr=0.1, n_d=25, n_a=21, gamma=1.2455790939833389, n_steps=6, lambda=0.008934640136740517, Score: 0.5177
Params: lr=0.01, n_d=19, n_a=16, gamma=1.3301386650623983, n_steps=7, lambda=0.007448293320923836, Score: 0.5123
Params: lr=0.05, n_d=15, n_a=12, gamma=1.5003470068470937, n_steps=7, lambda=0.005770509740844684, Score: 0.5137
Params: lr=0.07, n_d=12, n_a=19, gamma=1.2981404016871954, n_steps=6, lambda=0.001106071533357164, Score: 0.4722
